epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4024,2.49967,5.15267,2.06001,0.20424,0.10507,0.01655,0.01041,1.75631,5.08328,1.54237,6.672e-05,6.672e-05,6.672e-05
2,28.3224,1.921,3.55593,1.5518,0.06501,0.45557,0.08287,0.03784,2.04385,4.8378,1.44061,0.000134871,0.000134871,0.000134871
3,44.0293,1.78887,2.8046,1.45796,0.09856,0.48035,0.14525,0.08605,1.55907,3.98062,1.27049,0.000201647,0.000201647,0.000201647
4,58.8005,1.70571,2.51465,1.41526,0.17362,0.57932,0.2371,0.13137,1.61031,2.31992,1.30637,0.000267046,0.000267046,0.000267046
5,74.2604,1.64629,2.32537,1.38694,0.2179,0.60884,0.2831,0.13499,1.82087,2.00551,1.39987,0.000266991,0.000266991,0.000266991
6,89.5175,1.65981,2.20937,1.38666,0.25919,0.65648,0.35445,0.17938,1.69422,1.8339,1.32947,0.000264239,0.000264239,0.000264239
7,104.561,1.573,2.086,1.36005,0.27996,0.7353,0.39519,0.22397,1.47983,1.78566,1.26355,0.000261487,0.000261487,0.000261487
8,116.307,1.57774,2.02648,1.34611,0.29108,0.64574,0.39138,0.232,1.366,1.80092,1.25068,0.000258735,0.000258735,0.000258735
9,134.518,1.54547,1.96982,1.34122,0.35012,0.65287,0.48133,0.26193,1.56953,1.60863,1.30011,0.000255982,0.000255982,0.000255982
10,150.635,1.53708,1.91705,1.35123,0.45513,0.70778,0.56892,0.29142,1.65881,1.53548,1.31585,0.00025323,0.00025323,0.00025323
11,165.66,1.49381,1.83071,1.32046,0.37712,0.74182,0.48219,0.23933,1.70352,1.58802,1.3379,0.000250478,0.000250478,0.000250478
12,178.73,1.52216,1.82068,1.33728,0.38565,0.76685,0.4934,0.29685,1.33443,1.50539,1.21988,0.000247726,0.000247726,0.000247726
13,191.946,1.48805,1.78024,1.32562,0.44113,0.78442,0.56796,0.34043,1.35098,1.42767,1.22054,0.000244974,0.000244974,0.000244974
14,206.781,1.47983,1.74983,1.30954,0.45501,0.80642,0.59286,0.32586,1.50058,1.38971,1.26207,0.000242221,0.000242221,0.000242221
15,220.618,1.485,1.7361,1.31734,0.45803,0.81891,0.60533,0.3453,1.44904,1.36107,1.25269,0.000239469,0.000239469,0.000239469
16,235.789,1.47762,1.71068,1.32828,0.44966,0.7839,0.56826,0.32485,1.43006,1.38913,1.24132,0.000236717,0.000236717,0.000236717
17,249.501,1.47041,1.68864,1.31904,0.45341,0.82797,0.5498,0.31646,1.40562,1.35582,1.24771,0.000233965,0.000233965,0.000233965
18,262.989,1.44649,1.65294,1.30929,0.44469,0.84815,0.49663,0.30178,1.31467,1.3653,1.2174,0.000231213,0.000231213,0.000231213
19,276.448,1.42621,1.65129,1.30233,0.45262,0.86706,0.52835,0.30721,1.39965,1.34465,1.22583,0.00022846,0.00022846,0.00022846
20,290.154,1.45913,1.65518,1.31436,0.54494,0.81519,0.69509,0.34514,1.67478,1.27716,1.28553,0.000225708,0.000225708,0.000225708
21,304.799,1.43292,1.59357,1.28968,0.48765,0.82745,0.6564,0.39169,1.33743,1.28248,1.20998,0.000222956,0.000222956,0.000222956
22,318.267,1.39524,1.58569,1.27624,0.4804,0.84425,0.64333,0.39946,1.25423,1.26118,1.17583,0.000220204,0.000220204,0.000220204
23,331.347,1.42462,1.61173,1.29307,0.46205,0.86147,0.58802,0.35338,1.32769,1.27268,1.19611,0.000217452,0.000217452,0.000217452
24,346.931,1.43087,1.55515,1.28384,0.45579,0.89077,0.56152,0.32505,1.38981,1.27939,1.21963,0.000214699,0.000214699,0.000214699
25,360.245,1.43227,1.55255,1.27917,0.46453,0.87568,0.58751,0.36077,1.29074,1.24584,1.18714,0.000211947,0.000211947,0.000211947
26,374.033,1.41249,1.51172,1.27595,0.46812,0.88706,0.57353,0.35529,1.25588,1.2289,1.17869,0.000209195,0.000209195,0.000209195
27,387.553,1.38893,1.50828,1.26327,0.47814,0.88428,0.58293,0.34782,1.33074,1.23284,1.18642,0.000206443,0.000206443,0.000206443
28,400.96,1.42901,1.54574,1.29305,0.46658,0.89843,0.56458,0.35158,1.24276,1.24404,1.17688,0.000203691,0.000203691,0.000203691
29,414.683,1.39855,1.52042,1.26915,0.47768,0.89336,0.60326,0.36432,1.30027,1.20152,1.1818,0.000200938,0.000200938,0.000200938
30,427.886,1.37808,1.50106,1.26209,0.53908,0.83792,0.69613,0.43888,1.25635,1.1317,1.16956,0.000198186,0.000198186,0.000198186
31,442.957,1.40142,1.4912,1.26636,0.516,0.84,0.66321,0.37908,1.44644,1.17694,1.21957,0.000195434,0.000195434,0.000195434
32,456.458,1.38569,1.47805,1.26667,0.47546,0.93067,0.58227,0.35228,1.31717,1.19405,1.1779,0.000192682,0.000192682,0.000192682
33,470.076,1.37777,1.47453,1.26082,0.4756,0.90447,0.6031,0.33953,1.43733,1.20548,1.22324,0.00018993,0.00018993,0.00018993
34,483.544,1.38809,1.4501,1.26181,0.48074,0.91717,0.59216,0.35017,1.37481,1.1801,1.19265,0.000187177,0.000187177,0.000187177
35,496.912,1.36872,1.45101,1.27071,0.45523,0.93138,0.50022,0.29698,1.34236,1.23922,1.19046,0.000184425,0.000184425,0.000184425
36,510.228,1.3733,1.4457,1.24739,0.47869,0.91728,0.56881,0.3127,1.52471,1.19833,1.24449,0.000181673,0.000181673,0.000181673
37,523.843,1.36183,1.43763,1.24029,0.48497,0.90345,0.60499,0.36256,1.31137,1.16303,1.17898,0.000178921,0.000178921,0.000178921
